sentiment,title,content
Positif,"Terkait Tragedi dan Rusuh di Wamena, Begini Imbauan Tokoh Minangkabau","Terkait Tragedi dan Rusuh di Wamena, Begini Imbauan Tokoh Minangkabau - Ketua Mahkamah Adat Alam Minangkabau (MAAM) Tengku Irwansyah, mengimbau kepada semua elemen di Minangkabau, untuk bisa sabar dan ikhlas menyikapi rusuh yang terjadi di Wamena, Papua. Seperti diketahui, sejumlah warga asal Sumatera Barat jadi korban dalam rusuh yang terjadi pada 23 September 2019 lalu tersebut. ""Mengimbau dengan tulus kepada semua pihak, niniek mamak, alim ulama dan cadiek pandai, Tungku Tigo Sajarangan di Minangkabau untuk bisa sabar dan ikhlas menerima cobaan ini. Jangan melakukan tindakan balas dendam,"" imbaunya, usai pertemuan dengan Komandan Korem 032/Wirabraja Brigjen Kunto Arif Wibowo di Padang, Senin 30 September 2019. Dilansir republika, pihaknya juga mengimbau agar tidak ada provokasi melakukan agitasi serta memobilisasi anak nagari Minangkabau untuk melakukan tindakan balas dendam. Dalam momen seperti ini, saatnya warga Minangkabau mempraktekkan nilai-nilai keminangkabauan. Yaitu filosofi Adat Basandi Syarak, Syarak Basandi Kitabullah (ABS SBK). Tak hanya itu, pihaknya juga mengingatkan warga Sumbar agar hati-hati menyikapi informasi yang simpang siur di sosial media. Terlebih informasi yang memuat ujaran kebencian dan hasutan untuk membalas kejadian di Wamena. Menurutnya, MAAM tidak mau Indonesia tercabik-cabik oleh ulah provokator. ""Biarkan aparat kepolisian yang menindaklanjutinya,"" ujar Irwansyah. Sementara itu, Danrem Kunto Arif Wibowo mengatakan pihaknya siap mendukung upaya tokoh adat dan tokoh masyarakat untuk meredam provokasi pasca tragedi Wamena. Menurut Kunto menyebut perlu kerja sama semua pihak untuk menangkal isu-isu yang bersifat provokatif agar situasi pascakejadian Wamena tidak semakin 'panas'. Ditambahkannya, aparat TNI dan Polri saat ini sudah membuat kondisi di Wamena berangsur membaik. Kunto mendapat informasi bahwa semua warga Wamena saat ini bersama-sama ingin memulihkan keadaan di kota tersebut supaya kembali aman, normal seperti semula. ***"
Positif,Gubernur Papua Lukas Enembe Minta Maaf Atas Kerusuhan di Wamena GenPI.co,"Gubernur Papua Lukas Enembe Minta Maaf Atas Kerusuhan di Wamena GenPI.co - Gubernur Papua Lukas Enembe meminta maaf atas kerusuahan yang terjadi di Wamena, akibat hoaks yang beredar. Lukas memastikan untuk saat ini kondisi Wamena sudah kondusif berkat koordinasi Pemerintah Daerah, TNI dan Polri. ""Saudara-saudaraku masyarakat dari suku Minangkabau, Makassar, Bugis, Toraja, Minahasa, Jawa, Madura, Sunda, Maluku dan NTT, serta suku bangsa Indonesia lainnya di manapun saudara berada di seluruh Indonesia. Kami menyampaikan permohonan maaf dan rasa belangsungkawa sebesar-besarnya bagi masyarakat yang menjadi korban kerusuhan di Wamena,"" kata Lukas Enembe di Papua, Senin (30/9). Wamena Berdarah, 1.261 Warga Eksodus Jokowi: Saya Harap Warga Wamena Tak Terpancing Provokasi Lanjut Membaca"
Positif,"13 Polisi Diperiksa Atas Tewasnya 2 Mahasiswa Dalam Aksi Demo di Kendari, Cari Penembak Peluru Tajam Investigasi tewasnya 2 mahasiswa dalam Aksi demo Mahasiswa di Kendari Berlanjut 13 Polisi pemilik senjata api ditahan dan diperiksa","13 Polisi Diperiksa Atas Tewasnya 2 Mahasiswa Dalam Aksi Demo di Kendari, Cari Penembak Peluru Tajam Investigasi tewasnya 2 mahasiswa dalam Aksi demo Mahasiswa di Kendari Berlanjut 13 Polisi pemilik senjata api ditahan dan diperiksa SURYAMALANG.COM - Dugaan tindakan polisi yang salah dalam kasus tewas nya dua mahasiswa peserta aksi demo mahasiswa di Kendari semakin mengerucut karena sudah ada 13 polisi yang diperiksa. Dari 13 polisi yang diperiksa itu tidak menutup kemungkinan ada pelaku yang dijadikan tersangka. Tim investigasi internal kepolisian telah memeriksa 13 polisi pasca kerusuhan saat aksi demo yang menewaskan dua mahasiswa Universitas Halu Oleo (UHO) di Kendari, Kamis (26/9/2019) lalu. Kabiro Penmas Mabes Polri Brigjen Pol Dedi Prasetyo mengatakan, selain meminta keterangan, tim juga telah menarik 13 pucuk senjata dari 13 personel polisi itu. Dan ke 13 personel polisi pemilik senjata itu, juga sudah kita mintai keterangan. Temuan itu nanti akan disampaikan Kapolda Sultra yang baru dilantik, Brigjen Merdisyam, ujar Dedi saat dihubungi, Senin (30/9/2019). Dedi mengatakan, tim investigasi juga menemukan tiga proyektil dari hasil olah tempat kejadian perkara (TKP). Proyekti tersebut sudah dikirim ke Makassar untuk dilakukan uji balistik oleh tim labolatorium forensik (Labfor) dan tim inafis. Kapolda yang baru juga akan berkoordinasi dengan pemerintah daerah (Pemda) dan pihak terkait lainya, seperti Komnas HAM dan Ombudsman terkait investigasi bersama untuk mengusut tuntas kasus ini."
Negatif,"Mahasiswa Tertembak Peluru Karet, Dilarikan ke RSAL Mintohardjo Suara.com","Mahasiswa Tertembak Peluru Karet, Dilarikan ke RSAL Mintohardjo Suara.com - Seorang mahasiswa berinisial F dari kampus di Jakarta tertembak peluru karet milik kepolisian saat kerusuhan di kawasan Bendungan Hilir, Jakarta Pusat, Senin (30/9/2019) malam. Mahasiswa itu akhirnya dilarikan ke Rumah Sakit Angkatan Laut (RSAL). Kepada Suara.com , mahasiswa itu mengaku awalnya hendak mencari temannya untuk mengajaknya pulang di kawasan Pejompongan. Namun kerusuhan kembali pecah di depannya. ""Saya nyari teman, terus ketahan di depan halte di Pejompongan,"" ujar F di RSAL Mintohardjo, Senin (30/9/2019). F mengaku ditembak saat bergerombol dengan beberapa orang. Namun, menurutnya, hanya sedikit mahasiswa dan kebanyakan merupakan siswa STM. Ia akhirnya memutuskan untuk lari menjauh dari polisi. Namun, kakinya tiba-tiba terasa sakit karena ternyata telah tertembak peluru karet. ""Pelurunya ada dua jenis, bulat warna oranye sama yang lebih kecil warna hitam. Keras banget kayak karet mati,"" kata F. Karena tembakan peluru karet itu, kakinya berdarah dan sedikit berlubang. F langsung dibopong ke RSAL Mintohardjo."
Positif,Panglima TNI Minta Seluruh Komponen Bangsa Menahan Diri TRIBUNJOGJA.COM,"Panglima TNI Minta Seluruh Komponen Bangsa Menahan Diri TRIBUNJOGJA.COM - Panglima TNI Marsekal Hadi Tjahjanto meminta seluruh komponen bangsa agar bisa menahan diri. Masyarakat Indonesia belum cukup dewasa dalam menjalani kehidupan berbangsa dan bernegara, ujar Panglima. Pernyataan Panglima itu disampaikan melalui sepucuk surat yang dibacakan Kepala Staf TNI Angkatan Laut (KSAL) Laksamana TNI Siwi Sukma Adji dalam acara doa bersama dalam rangka HUT TNI Ke-74 dan untuk pahlawan revolusi di Plaza Mabes TNI, Cilangkap, Jakarta Timur, Senin (30/9/2019) malam.. ""Kehidupan berbangsa dan bernegara sedang menghadapi cobaan di usia ke-74 tahun, ternyata belum cukup dewasa,"" ujar Panglima, sebagaimana dikutip Antara. Saat ini, kata Hadi, tantangan yang dihadapi bangsa Indonesia semakin rumit dan berbagai bencana serta peristiwa bertubi-tubi terjadi. Gempa bumi dan letusan gunung berapi, kekeringan, kebakaran hutan serta lahan, kerusuhan di Papua dan Papua Barat, demonstrasi yang berujung kerusuhan serta pilkada serentak dan Pemilu 2019. Hadi pun berpesan agar seluruh komponen bangsa menahan diri, kemudian mencoba saling menghargai, menghormati dan bahu membahu dalam pembangunan sembari menyadari bahwa perbedaan adalah kekuatan. Dikatakan, pendiri bangsa ini sesungguhnya sudah menyadari hal tersebut sehingga menjadikan Bhineka Tunggal Ika sebagai semboyan negara. Sebagai bagian dari komponen bangsa, rakyat pun semestinya memiliki kewajiban untuk bersinergi dengan komponen lainnya. ""Kita harus bersama-sama memanfaatkan setiap potensi yang ada untuk kesejahteraan rakyat dan kemajuan bersama, tidak boleh ada yang tertinggalkan dan terpinggirkan atau tertinggal sama sekali,"" ujar dia. Ia juga berharap TNI selalu profesional dalam menjalankan tugas pokoknya. ""Semoga pula TNI dapat melaksanakan setiap tugas pokoknya,"" ujar Hadi. Dalam acara doa bersama ini juga dihadiri KSAU Marsekal TNI Yuyu Sutisna, Wakapolri Komjen Pol Ari Dono Sukmanto, Wakasad Letjen TNI Tatang Sulaiman dan ratusan prajurit TNI/Polri serta Ibu-ibu Ikatan Kesejahteraan Keluarga TNI (IKKT). Acara ini juga diidi dengan tausyiah oleh Habib Lutfi bin Ali bin Hasyim bin Yahya. Sedangkan dzikir dan doa dipimpin KH Muhammad Musthofa Aqil Siroj. (Fabian Januarius Kuwado) . Artikel ini telah tayang di Kompas.com dengan judul ""Panglima TNI: Masyarakat Indonesia Ternyata Belum Cukup Dewasa"""
Netral,"Jokowi Minta Warga Tak Tinggalkan Wamena JAKARTA, KRJOGJA.com","Jokowi Minta Warga Tak Tinggalkan Wamena JAKARTA, KRJOGJA.com - Presiden Joko Widodo (Jokowi) meminta masyarakat tak meninggalkan Wamena, Kabupaten Jayawijaya, Papua. Ia menyatakan aparat TNI dan Polri telah mengendalikan situasi keamanan di wilayah pegunungan tengah Papua itu. ""Tapi terus kita imbau agar masyarakat tidak keluar dari Wamena karena aparat keamanan sudah bisa mengamankan,"" kata Jokowi. Namun, Jokowi mengatakan tak sedikit warga yang ingin mengungsi ke Kota Jayapura, Papua. Menurutnya, pemerintah sudah melakukan evakuasi masyarakat yang masih merasa takut dengan situasi di Wamena. ""Tentu saja karena masih ada yang merasa takut kemudian minta untuk dievakuasi di Jayapura, ya dilakukan,"" tuturnya. Presiden terpilih itu pun mengapresiasi kepala suku Lembah Baliem yang telah meminta masyarakat tak mengungsi ke luar Kota Wamena. Jokowi meminta semua masyarakat untuk tetap tenang dan terprovokasi dengan informasi simpang siur di media sosial. ""Kepala suku Lembah Baliem di Wamena telah mengajak, menghimbau untuk seluruh warga untuk tidak mengungsi ke luar wamena. Ini saya kira sebuah himbauan baik,"" ujarnya. (*)"
Negatif,Panglima TNI Marsekal Hadi Tjahjanto: Masyarakat Indonesia Ternyata Belum Cukup Dewasa SERAMBINEWS.COM,"Panglima TNI Marsekal Hadi Tjahjanto: Masyarakat Indonesia Ternyata Belum Cukup Dewasa SERAMBINEWS.COM - Panglima TNI Marsekal Hadi Tjahjanto mengatakan, masyarakat Indonesia belum cukup dewasa dalam menjalani kehidupan berbangsa dan bernegara. Pernyataan Panglima itu disampaikan melalui sepucuk surat yang dibacakan Kepala Staf TNI Angkatan Laut (KSAL) Laksamana TNI Siwi Sukma Adji dalam acara doa bersama dalam rangka HUT TNI Ke-74 dan untuk pahlawan revolusi di Plaza Mabes TNI, Cilangkap, Jakarta Timur, Senin (30/9/2019) malam. ""Kehidupan berbangsa dan bernegara sedang menghadapi cobaan di usia ke-74 tahun, ternyata belum cukup dewasa,"" ujar Panglima, sebagaimana dikutip Antara. Saat ini, kata Hadi, tantangan yang dihadapi bangsa Indonesia semakin rumit dan berbagai bencana serta peristiwa bertubi-tubi terjadi. Gempa bumi dan letusan gunung berapi, kekeringan, kebakaran hutan serta lahan, kerusuhan di Papua dan Papua Barat, demonstrasi yang berujung kerusuhan serta pilkada serentak dan Pemilu 2019. Hadi pun berpesan agar seluruh komponen bangsa menahan diri, kemudian mencoba saling menghargai, menghormati dan bahu membahu dalam pembangunan. Sembari menyadari bahwa perbedaan adalah kekuatan Pendiri bangsa ini sesungguhnya sudah menyadari hal tersebut sehingga menjadikan Bhineka Tunggal Ika sebagai semboyan negara. Sebagai bagian dari komponen bangsa, rakyat pun semestinya memiliki kewajiban untuk bersinergi dengan komponen lainnya. ""Kita harus bersama-sama memanfaatkan setiap potensi yang ada untuk kesejahteraan rakyat dan kemajuan bersama, tidak boleh ada yang tertinggalkan dan terpinggirkan atau tertinggal sama sekali,"" ujar dia. Ia juga berharap TNI selalu profesional dalam menjalankan tugas pokoknya. ""Semoga pula TNI dapat melaksanakan setiap tugas pokoknya,"" ujar Hadi. Dalam acara doa bersama ini juga dihadiri KSAU Marsekal TNI Yuyu Sutisna, Wakapolri Komjen Pol Ari Dono Sukmanto, Wakasad Letjen TNI Tatang Sulaiman dan ratusan prajurit TNI/Polri serta Ibu-ibu Ikatan Kesejahteraan Keluarga TNI (IKKT). Serta tausyiah oleh Habib Lutfi bin Ali bin Hasyim bin Yahya. Sedangkan dzikir dan doa dipimpin KH Muhammad Musthofa Aqil Siroj. Artikel ini telah tayang di Kompas.com dengan judul: Panglima TNI: Masyarakat Indonesia Ternyata Belum Cukup Dewasa"
Negatif,Komnas HAM: Yang dibutuhkan pengungsi Wamena solidaritas kemanusiaan Jakarta (ANTARA),"Komnas HAM: Yang dibutuhkan pengungsi Wamena solidaritas kemanusiaan Jakarta (ANTARA) - Komisioner Komisi Nasional Hak Asasi Manusia Choirul Anam menilai warga Wamena, Jayawijaya, Papua, yang mengungsi ke kota lain paling membutuhkan solidaritas kemanusiaan daripada solidaritas dalam bentuk lain. ""Kalau mau solidaritas kemanusiaan, jangan yang lain. Yang dibutuhkan pengungsi sekarang adalah solidaritas kemanusiaan,"" tutur Choirul Anam di Jakarta, Senin. Pemerintah daerah disebutnya harus segera menyiapkan skema penanganan ribuan pengungsi dari Wamena setelah terjadi kerusuhan, agar masalah kemanusiaan tidak bertambah luas. Pemenuhan kebutuhan dasar dalam pengungsian, seperti makanan, air bersih serta obat-obatan, pun mesti menjadi perhatian pemerintah. ""Soal pengungsi harus mendapat perhatian sangat besar karena jumlahnya sangat banyak. Masalah kompleks dan paling penting skema penanganan pengungsi harus jelas sejak awal,"" kata Choirul Anam. Setelah penanganan pengungsi, saat situasi keamanan di Wamena dirasa cukup baik, Komnas HAM mendesak agar dilakukan investigasi mendalam serta penegakan hukum terhadap pelaku kerusuhan di Wamena. ""Kepada yang diduga melakukan perbuatan melawan hukum, kami mendorong hukum ditegakkan supaya persoalan ini bisa terselesaikan dan tertangani sebaik-baiknya ke depan, supaya tidak terulang peristiwa seperti ini di waktu yang akan datang,"" tutur Choirul Anam. Ada pun Pemerintah Kabupaten Jayawijaya, Provinsi Papua mencatat terdapat 7.278 warga yang trauma pascakerusuhan Senin (23/9) masih berada di penampungan pengungsi, tersebar di lebih dari 59 titik. Presiden jamin keamanan penduduk di Wamena, warga diminta tidak mengungsi"
Negatif,Personil Wali Kocar Kacir Kena Tembakan Gas Air Mata RMOLBanten.,"Personil Wali Kocar Kacir Kena Tembakan Gas Air Mata RMOLBanten. Kerusuhan demonstrasi massa yang sudah bercampur antara mahasiswa, pelajar dan massa berlangsung sampai malam. Aparat kepolisian dengan dibantu TNI berusaha membubarkan massa. Keributan terjadi dibeberapa titik depan kantor BPK RI, depan Palmerah, depan wisma BNI, depan Slipi, depan stasiun Palmerah, depan kelurahan Gelora sebarang Hotel Mulia. Tengah malam polisi berhasil memukul mundur pendemo. Beberapa belarian ke berbagai arah salah satunya ke arah Kampus Mustopo. Personil Wali Band yang sedang syuting single barunya sempat terjebak kerusuhan itu dan terkena dampak gas air mata. Beberapa personil Wali mengaku matanya perih kena asap gas air mata. Pada saat kejadian personel Wali sedang break (istirahat) syuting sekitar jam 21.30 WIB di sekitar Jalan Hang Tuah Raya tepatnya dekat Kampus Mustopo Beragama. ""Ketika break, kita lagi duduk-duk santai di parkiran, tiba-tiba rombongan masa lewat disertai tembakan gas air mata dari aparat yang membubarkan aksi. Spontan mata kita jadi perih,"" terang personil Iksayan Bustomi atau biasa disapa Tomi, kepada Kantor Berita RMOL Banten , Senin (30/9) malam. Kata Tomi, hari itu semua personil Wali komplit sedang melakukan syuting single barunnya yang akan segera dirilis. Asap gas air mata, lanjut Tomi sempat membuat dirinya dan personil lainnya berlarian mencari tempat aman, ""Dari siang kondisi cukup kondusif, kan demonya berlangsung di gedung DPR, jelang malam situasi justru menjadi mencekam. Mereka lari ke arah sini,"" katanya. ""Alhamdulilah semua personil aman. Cuma mata saja yang pedes,"" pungkasnya. Sebagai informasi Band Wali yang ngetop dikalangan anak muda terdiri dari Faank (vokal), Apoy (gitar), Tomi (drum), Ovie (keyboard). [ars]"
Positif,Kemkes: Jumlah pengungsi Wamena di Jayapura sekitar 500 orang Jakarta (ANTARA),"Kemkes: Jumlah pengungsi Wamena di Jayapura sekitar 500 orang Jakarta (ANTARA) - Kementerian Kesehatan (Kemkes) menyebutkan jumlah pengungsi dari Wamena, yang dipindahkan ke Jayapura, Papua, akibat kerusuhan sudah sekitar 500 orang. ""Yang bisa kita data yang sudah dibawa ke Jayapura itu sekitar 500 orang,"" kata Sekretaris Direktur Jenderal Pencegahan dan Pengendalian Penyakit Kemkes Achmad Yurianto usai Konferensi Pers di Kementerian Kesehatan di Jakarta, Senin. 500 orang tersebut sudah diterbangkan ke Jayapura dengan pesawat Hercules. Sementara sekitar 1.600 orang lainnya saat ini tercatat telah terdaftar untuk mengikuti penerbangan berikutnya ke Jayapura. Ia menambahkan penerbangan gelombang pertama dalam evakuasi dari Wamena ke Jayapura tersebut dilakukan karena alasan medis. Sementara penerbangan berikutnya dilakukan untuk memenuhi banyaknya permintaan masyarakat yang memang ingin meninggalkan Wamena. Sebagian besar yang diterbangkan dari Wamena tersebut, ujar dia adalah perempuan, anak-anak, ibu hamil dan juga lansia. Selain itu, ia juga mengatakan pengungsi tidak hanya orang-orang yang berasal dari luar Papua tetapi juga dari masyarakat asli Papua. Pesawat Hercules yang disiapkan untuk penerbangan hari ini, tambah dia ada empat sortie atau sebanyak empat kali penerbangan. Bagi pengungsi yang tidak memiliki saudara di Jayapura atau tempat untuk tinggal, mereka ditampung di aula milik TNI Angkatan Udara dan Batalion 751. Tetapi, beberapa dari mereka, ada yang dijemput oleh saudara mereka di Jayapura. ""Ada kemarin, pekerja bangunan dari Wamena, setelah sampai di Jayapura dia dijemput saudaranya,"" tambahnya. Sementara itu, ia mengemukakan bahwa evakuasi tersebut akan diselesaikan sampai semua bisa terkendali. ""Kalau evakuasi rujukan ini kita belum tahu sampai kapan. Tapi ketentuannya sampai semuanya bisa terkendali. Bisa jalan dengan baik, kita selesaikan misi ini,"" katanya."
Negatif,"Bringas Hingga Malam, Polres Mataram Tangkap 26 Demosntran Mataram, Gatra.com","Bringas Hingga Malam, Polres Mataram Tangkap 26 Demosntran Mataram, Gatra.com - Aksi unjuk rasa masa terus berlangsung di DPRD Nusa Tenggara Barat (NTB), Jalan Udayana, Mataram, hingga Senin malam (30/9). Sayangnya, aksi masa ini dinodai pelemparan batu dan sejumlah benda tumpul terhadap polisi. Guna melindungi diri, polisi berupaya membubarkan massa aksi dengan menembakkan water cannon. Massa yang bertahan pun perlahan mundur dan masuk ke dalam Masjid Islamic Center NTB untuk mengamankan diri. Maju, jaga diri masing-masing. Tembakkan water cannon ke arah selatan, perintah Kapolres Mataram, AKBP Saiful Alam. Para mahasiswa yang merasa terdesak masih bertahan duduk di dalam halaman Masjid Hubbul Wathan Mataram. Sementara itu, sebanyak 26 mahasiswa ditangkap dan diamankan oleh pihak kepolisian akibat kerusuhan saat demo anarkis di depan kantor DPRD NTB, malam ini. Namun, belum bisa kita pastikan secara rinci nama-nama mahasiswa yang ditangkap. Kita minta untuk menunggu dan memberikan pihak kepolisian bekerja. Sekali lagi, berikan kami kesempatan bekerja dulu, ujarnya. Puluhan mahasiswa yang ditangkap tersebut akan dibawa ke Polda NTB untuk dimintai keterangan lebih lanjut. Aksi Unras mahasiswa tersebut merupakan kedua kalinya setelah aksi pada Minggu kemarin (29/10). Mereka melakukan demo dengan tuntutan yang sama yakni menolak revisi sejumlah UU termasuk revisi UU KPK dan sejumlah UU lainnya yang dianggap bermasalah."
Positif,"TNI dan Polri Akan Jaga Keamanan Tenaga Medis di Wamena Menteri Kesehatan memastikan, petugas kesehatan di Wamena, Papua, akan mendapat pengamanan dari TNI dan Polri.","TNI dan Polri Akan Jaga Keamanan Tenaga Medis di Wamena Menteri Kesehatan memastikan, petugas kesehatan di Wamena, Papua, akan mendapat pengamanan dari TNI dan Polri. Menkes juga menyarankan kepada tenaga medis yang berada di daerah rawan, mengungsi ke fasilitas kesehatan terdekat. Selain pengamanan ekstra, menteri kesehatan juga mengimbau petugas kesehatan selalu mengenakan baju dan atribut penanda petugas medis. Hingga saat ini, kementerian kesehatan mencatat ada 31 petugas kesehatan di Wamena."
Negatif,"Demonstrasi Ricuh, Mobil di Parkiran Polsek Tanah Abang Dibakar JAKARTA","Demonstrasi Ricuh, Mobil di Parkiran Polsek Tanah Abang Dibakar JAKARTA - Aksi demonstrasi yang digelar mahasiswa dan pelajar di sekitar DPR RI terlibat bentrok dengan aparat kepolisian. Buntut dari bentrokan itu meluas menjadi kerusuhan di beberapa lokasi di Jakarta, Senin (30/9/2019). Sebuah mobil terbakar yang terpakir di depan Polsek Metro Tanah Abang, Jakarta Pusat dibakar massa. ""Iya, yang terbakar mobil (bukan Polsek Tanah Abang),"" kata salah satu petugas Damkar, Jakarta Pusat, Jujung dikonfirmasi, Senin (30/9/2019) malam. Menurut Jujung, aksi pembakaran mobil itu terjadi saat massa bentrok dengan aparat kepolisian sekitar pukul 22.00 WIB. Jujung menyampaikan, hingga kini kondisi belum kondusif sehingga polisi terus memukul mundur massa aksi. ""Situasinya belum kondusif gitu sih masih dipukul mundur pihak kepolisian,"" ujar Jujung. Jujung mengatakan kawasan sekitar Tanah Abang pun kini juga dijaga ketat oleh pihan TNI dan warga yang membantu. Menurut Jujung hanya satu mobil yang dibakar oleh massa aksi. ""Satu mobil, sudah padam,"" tutup Jujung. (suara.com)"
Negatif,Kerusuhan Wamena Bahaya Kelangsungan NKRI indopos.co.id,"Kerusuhan Wamena Bahaya Kelangsungan NKRI indopos.co.id “ Direktur Eksekutif The Indonesian Democracy Initiative (TIDI), Arya Sandhiyudha menuturkan, kerusuhan berdarah di Wamena telah masuk ke tingkat yang berbahaya bagi kelangsungan Negara Kesatuan Republik Indonesia (NKRI). Mengingat, dampak kerusuhan tersebut telah mendapatkan reaksi panas dari daerah-daerah. Karena adanya korban jiwa dari warga pendatang. Kita semua berduka dan berharap kerusuhan itu bisa segera diredakan. Kerusuhan di Wamena bisa berpotensi memicu disintegrasi bangsa, mengarah pada genosida, dan konflik horizontal antar etnik, tuturnya. Tak sampai disana, Arya menilai, jika pemerintah salah melangkah dalam penyelesaian kerusuhan tersebut, tragedi ini akan mencuat lebih besar kembali. Oleh karena itu harus ada upaya ekstra hati “ hati dalam penyelesaian kerusuhan Wamena.Ada tiga hal yang nampak jelas dari rangkaian persoalan dan ketegangan yang terjadi di Wamena. Mulai motif adu domba antar anak bangsa, sentimen kesukuan, penghapusan keharmonisan. Makanya perlu komitmen fundamental dari pemerintah ke warga di Papua, tegasnya. Oleh karena itu, ditambahkan Arya, masyarakat diberbagai daerah di imbau tidak terpancing dengan isu yang memanaskan situasi. Kemudian pemerintah diminta menangkap dalang-dalang aksi kerusuhan yang membuat gejolak di Wamena. Dirinya yakin dengan cara ini konflik di negeri cenderawasih ini akan reda.Gunakanlah segera ruang kewenangan dan kepercayaan itu dalam menyikapi momen, isu, dan krisis terkini. Selagi masih ada ruang dan waktu, pungkasnya. (cok)"
Positif,"Warga yang Terkurung di Senayan City karena Kerusuhan Telah Meninggalkan Lokasi JAKARTA, KOMPAS.com","Warga yang Terkurung di Senayan City karena Kerusuhan Telah Meninggalkan Lokasi JAKARTA, KOMPAS.com - Pengunjung dan karyawan yang berada di Mal Senayan City, Jakarta Pusat, meninggalkan lokasi pada Senin (30/9/2019), pukul 23.19 WIB. Agus, salah seorang sekuriti mal mengatakan bahwa saat polisi memukul mundur massa dari arah Pintu Utama Gelora Bung Karno, para pengunjung Senayan City tidak diperbolehkan untuk keluar dari kawasan mal. Hal itu dilakukan untuk menghindari adanya korban saat aksi lempar oleh massa dan gas air mata yang terus menerus diletupkan di tengah jalan depan mal. ""Tapi tadi udah bubar semua. Polisi balik, pintu mulai dibuka,"" kata Agus kepada Kompas.com . Namun, warga tidak boleh keluar dari sisi timur mal mengingat adanya pagar dan kawat berduri yang terpasang agar massa yang kabur tidak memasuki kawasan mall. ""Sekarang sudah pada pulang semua,"" ujarnya. Saat ini terlihat aktivitas di kawasan Mal hanyalah pemasangan tenda oleh beberapa orang pekerja untuk acara yang akan dilakukan di kawasan Mal Senayan City. Sementara di depan mal banyak pengendara ojek online yang mangkal sambil menunggu orderan datang, Pengendara tampak hilir mudik di jalanan di depan mal tanda kondisi malam ini sudah kondusif."
